best_candidate_id,best_coverage,best_iou,best_precision,candidate_count_iou25,candidate_count_iou50,class_name,gt_instance_id,point_count,scene_name,semantic_id,status
-1,0.0,0.0,0.0,0,0,chair,2002,2130,scene0019_01,2,missed
-1,0.0,0.0,0.0,0,0,chair,2009,2226,scene0019_01,2,missed
1,0.38719889883000685,0.31165521825836473,0.614997813729777,2,0,door,5018,7265,scene0019_01,5,fragmented_or_duplicate
18,0.010910710309507904,0.010783450704225352,0.4803921568627451,0,0,door,5019,4491,scene0019_01,5,missed
7,0.7120440187487264,0.510744043268528,0.6436993367722919,1,1,couch,6010,4907,scene0019_01,6,covered
-1,0.0,0.0,0.0,0,0,pillow,13023,885,scene0019_01,13,missed
-1,0.0,0.0,0.0,0,0,pillow,13024,1193,scene0019_01,13,missed
-1,0.0,0.0,0.0,0,0,armchair,23003,2298,scene0019_01,23,missed
15,0.04579803068468056,0.04437541601952518,0.5882352941176471,0,0,armchair,23004,4367,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23005,1403,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23006,1017,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23007,2121,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23008,1394,scene0019_01,23,missed
6,0.8329560887279311,0.38966539601863615,0.42269699058120835,1,0,armchair,23022,2209,scene0019_01,23,covered
-1,0.0,0.0,0.0,0,0,armchair,23025,2405,scene0019_01,23,missed
10,0.041916167664670656,0.022264631043257,0.04533678756476684,0,0,lamp,28020,835,scene0019_01,28,missed
-1,0.0,0.0,0.0,0,0,trash can,56021,1612,scene0019_01,56,missed
