best_candidate_id,best_coverage,best_iou,best_precision,candidate_count_iou25,candidate_count_iou50,class_name,gt_instance_id,point_count,scene_name,semantic_id,status
-1,0.0,0.0,0.0,0,0,chair,2002,2130,scene0019_01,2,missed
-1,0.0,0.0,0.0,0,0,chair,2009,2226,scene0019_01,2,missed
0,0.3731589814177564,0.3003545313538666,0.606216457960644,2,0,door,5018,7265,scene0019_01,5,fragmented_or_duplicate
-1,0.0,0.0,0.0,0,0,door,5019,4491,scene0019_01,5,missed
5,0.7120440187487264,0.510744043268528,0.6436993367722919,1,1,couch,6010,4907,scene0019_01,6,covered
-1,0.0,0.0,0.0,0,0,pillow,13023,885,scene0019_01,13,missed
-1,0.0,0.0,0.0,0,0,pillow,13024,1193,scene0019_01,13,missed
-1,0.0,0.0,0.0,0,0,armchair,23003,2298,scene0019_01,23,missed
12,0.04579803068468056,0.04437541601952518,0.5882352941176471,0,0,armchair,23004,4367,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23005,1403,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23006,1017,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23007,2121,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,armchair,23008,1394,scene0019_01,23,missed
4,0.8329560887279311,0.38966539601863615,0.42269699058120835,1,0,armchair,23022,2209,scene0019_01,23,covered
-1,0.0,0.0,0.0,0,0,armchair,23025,2405,scene0019_01,23,missed
-1,0.0,0.0,0.0,0,0,lamp,28020,835,scene0019_01,28,missed
-1,0.0,0.0,0.0,0,0,trash can,56021,1612,scene0019_01,56,missed
